,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
181,FUL EŞYALI KİRALIK 1+1 ASANSÖRLÜ 6 YAŞINDA DAİRE,9.5,60.0,13-11-2023,5.0,6.0,1,Ege,1 + 1,5.0,1.0,2.0,1.0,1.0
182,AKGEDİK GRUP'DAN AKGEDİK TOKİ KONUTLARI 1.ETAPDA ESYALİ 2+1,12.0,103.0,09-10-2023,1.0,4.0,2,Akgedik,2 + 1,5.0,0.0,1.0,2.0,4.0
183,Akhisar Paşa Mahallesi'nde 2+1 Kiralık Daire,6.0,110.0,18-09-2023,3.0,30.0,1,Paşa,2 + 1,3.0,5.0,2.0,2.0,4.0
185,KOÇAK'TAN KARAALİ BÖLGESİNDE 2+1 SIFIR KİRALIK BAHÇELİ ZEMİN DAİRE,18.0,120.0,25-10-2023,1.0,0.0,1,Muradiye,2 + 1,3.0,0.0,1.0,2.0,4.0
186,Site İçerisinde Kiralık 1+1 Eşyalı Daire,11.0,75.0,26-10-2023,1.0,4.0,1,Karaali,1 + 1,3.0,0.0,1.0,1.0,2.0
187,Manisa Meydan Sitesinde Kiralık 1+1 Daire,10.0,48.0,09-10-2023,11.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
188,KİRALIK KALORİFERLİ EŞYALI 3+1 DAİRE,7.5,120.0,10-10-2023,3.0,3.0,1,Fatih,3 + 1,4.0,0.0,3.0,3.0,4.0
189,Manisa Meydan Sitesinde Full Eşyalı Kiralık 1+1 Daire,14.0,45.0,09-10-2023,13.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
190,ÖZGÜN GM'DEN - LALELİ MESİR MAH. KİRALIK 3+1 STANDART YÜKSEK GİRİŞ DAİRE,8.0,100.0,26-10-2023,1.0,40.0,1,Mesir,3 + 1,3.0,5.0,2.0,3.0,4.0
191,istasyon Mahallesinde 2+1 kiralik daire,6.5,6.5,28-09-2023,5.0,18.0,1,İstasyon,2 + 1,5.0,3.0,3.0,2.0,0.0
